station,run,fiber,att,freq_band,ch,snr,snr_sigma,hilbert_snr,hilbert_snr_sigma,zenith,zenith_sigma,vpos,vpos_sigma,vneg,vneg_sigma,integral,integral_sigma,vdiff,noise,noise_sigma,hilbert_noise,hilbert_noise_sigma
11,1803,1,0,"(175, 750)",4,6.1520020079681705,0.7930716895601867,103.38138698688118,10.76847564961842,72.29890593763761,0.14765406120770164,0.049719898292566025,0.007313841155876592,-0.050931140685949575,0.0063757495789482435,0.654324592654184,0.056842539621839425,-0.0012112423933835492,0.008193732652828805,0.0003158952962975485,0.006344296678484039,0.00024610640767120333
11,1803,1,0,"(175, 750)",5,106.28374224048412,4.654154988421722,906.2603200526953,38.56387298341455,91.29301910594927,0.16177475650538062,0.7242055492845273,0.024034399133923925,-0.7079868392007591,0.02858686096996118,4.732709155183818,0.15776173415186545,0.016218710083768184,0.006744628989685942,0.0002425866136422898,0.005227615231684277,0.0001889782925861093
11,1803,1,0,"(175, 750)",6,15.77138124216965,11.622303706657362,200.33077763911453,135.12876196810805,120.42472902249509,0.12730619337688315,0.12036065414433456,0.08545327155944889,-0.14948808553750487,0.11443080682832836,1.3240125703783938,0.898972034748944,-0.02912743139317031,0.008500023007637381,0.00031901525746792835,0.006569409627448347,0.00023899464323722138
11,1803,1,0,"(175, 750)",7,6.792835449837586,4.764386851609726,90.67758055165909,55.55523801499092,138.889078269197,0.11549368964779334,0.025516696850261845,0.01685976343906766,-0.026407814647322437,0.020203859711673634,0.26648013589227104,0.1650555197898638,-0.0008911177970605914,0.003790012934814776,0.0001698599137773931,0.002931994941345636,0.00012631748054130171
11,1803,1,0,"(175, 300)",0,48.73831925737227,2.0862177789111613,825.8539536069712,39.90064282010053,65.28224926472305,0.13652220677557625,0.12850001713283363,0.004201948516689067,-0.12767095971062775,0.003778367318233977,1.67919975836283,0.05875933132783736,0.0008290574222058755,0.0026314753357175287,0.00010652242143118981,0.0020360619496037173,8.181742211204335e-05
11,1803,1,0,"(175, 300)",1,48.67017465815832,1.8647869011756384,840.4075824232885,33.95208036502283,66.68799815120423,0.13884244792433367,0.16233208567625332,0.005886056078129395,-0.15791138120184603,0.005154488150088862,2.1386827145547644,0.0906605137300125,0.004420704474407289,0.003293797616357973,0.00014915747535564942,0.0025472306167272614,0.00011580775744214522
11,1803,1,0,"(175, 300)",2,48.95655845860345,2.778753479664991,828.9532839791993,50.066460603014754,68.05444806778304,0.1410735779374561,0.10039882550164368,0.003726732375631083,-0.09751174128468137,0.003689009046125013,1.29474627542486,0.04876572225568733,0.0028870842169623073,0.0020265106413995147,0.0001154903837820726,0.0015662906959241186,9.05157020446393e-05
11,1803,1,0,"(175, 300)",3,55.35641969884856,2.7584689245407565,944.1014407388179,47.227284308594065,69.50019290763427,0.14338722433143722,0.127251023350883,0.004870372105423381,-0.12492768878066228,0.004628486864644067,1.6633101016397416,0.06327545658260264,0.002323334570220728,0.0022830695894760613,0.00013361846488977943,0.001765738070056489,0.0001020374470487539
11,1803,1,0,"(175, 300)",8,3.6536593785564855,0.6480418082130484,90.30822918742828,15.119762155174847,70.9014387122788,0.14556438746645253,0.00789081452880502,0.0014346988503457093,-0.007917387150243944,0.0014301094754772324,0.15111661153849062,0.0240569430617761,-2.6572621438923638e-05,0.0021657817152064846,0.0001100702879955518,0.0016777130003581059,8.585652630534066e-05
11,1803,1,0,"(175, 300)",4,3.9795738376948546,0.8457932096770414,97.93009803711881,21.92657243848707,72.29890593763761,0.14765406120770164,0.014702199634320904,0.0029936765111541453,-0.01468271104600284,0.002988321740201255,0.2795143760376304,0.05759274641795053,1.94885883180642e-05,0.0037060561532130253,0.00023094421669208687,0.002869168057764977,0.0001781068449644055
